Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int
290,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
291,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
292,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
293,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
294,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
295,1,10000,100,10001,2,10002,2,10004,3,10003,50,-1,-1,-1,-1,-1,-1
296,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
297,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
298,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
299,2,10000,150,10001,3,10002,3,10004,4,10003,100,-1,-1,-1,-1,-1,-1
300,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
301,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
302,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
303,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
304,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
305,1,10000,100,10001,2,10002,2,10004,3,10003,50,-1,-1,-1,-1,-1,-1
306,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
307,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
308,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
309,2,10000,150,10001,3,10002,3,10004,4,10003,100,-1,-1,-1,-1,-1,-1
310,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
311,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
312,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
313,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
314,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
315,1,10000,100,10001,2,10002,2,10004,3,10003,50,-1,-1,-1,-1,-1,-1
316,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
317,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
318,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
319,2,10000,150,10001,3,10002,3,10004,4,10003,100,-1,-1,-1,-1,-1,-1
320,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
321,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
322,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
323,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
324,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
325,1,10000,100,10001,2,10002,2,10004,3,10003,50,-1,-1,-1,-1,-1,-1
326,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
327,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
328,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
329,2,10000,150,10001,3,10002,3,10004,4,10003,100,-1,-1,-1,-1,-1,-1
330,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
331,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
332,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
333,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
334,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
335,1,10000,100,10001,2,10002,2,10004,3,10003,50,-1,-1,-1,-1,-1,-1
336,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
337,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
338,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
339,2,10000,150,10001,3,10002,3,10004,4,10003,100,-1,-1,-1,-1,-1,-1
340,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
341,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
342,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
343,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
344,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
345,1,10000,100,10001,2,10002,2,10004,3,10003,50,-1,-1,-1,-1,-1,-1
346,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
347,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
348,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
349,2,10000,150,10001,3,10002,3,10004,4,10003,100,-1,-1,-1,-1,-1,-1
350,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
351,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
352,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
353,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
354,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
355,1,10000,100,10001,2,10002,2,10004,3,10003,50,-1,-1,-1,-1,-1,-1
356,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
357,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
358,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
359,2,10000,150,10001,3,10002,3,10004,4,10003,100,-1,-1,-1,-1,-1,-1
360,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
361,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
362,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
363,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
364,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
365,1,10000,100,10001,2,10002,2,10004,3,10003,50,-1,-1,-1,-1,-1,-1
366,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
367,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
368,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
369,2,10000,150,10001,3,10002,3,10004,4,10003,100,-1,-1,-1,-1,-1,-1
370,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
371,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
372,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
373,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
374,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
375,1,10000,100,10001,2,10002,2,10004,3,10003,50,-1,-1,-1,-1,-1,-1
376,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
377,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
378,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
379,2,10000,150,10001,3,10002,3,10004,4,10003,100,-1,-1,-1,-1,-1,-1
380,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
381,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
382,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
383,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
384,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
385,1,10000,100,10001,2,10002,2,10004,3,10003,50,-1,-1,-1,-1,-1,-1
386,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
387,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
388,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
389,2,10000,150,10001,3,10002,3,10004,4,10003,100,-1,-1,-1,-1,-1,-1
390,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
391,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
392,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
393,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
394,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
395,1,10000,100,10001,2,10002,2,10004,3,10003,50,-1,-1,-1,-1,-1,-1
396,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
397,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
398,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
399,2,10000,150,10001,3,10002,3,10004,4,10003,100,-1,-1,-1,-1,-1,-1
400,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
401,0,10000,50,10001,1,10002,1,10004,4,-1,-1,-1,-1,-1,-1,-1,-1
402,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
403,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
404,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
405,1,10000,100,10001,2,10002,2,10004,4,10003,50,-1,-1,-1,-1,-1,-1
406,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
407,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
408,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
409,2,10000,150,10001,3,10002,3,10004,5,10003,100,-1,-1,-1,-1,-1,-1
410,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
411,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
412,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
413,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
414,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
415,1,10000,100,10001,2,10002,2,10004,4,10003,50,-1,-1,-1,-1,-1,-1
416,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
417,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
418,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
419,2,10000,150,10001,3,10002,3,10004,5,10003,100,-1,-1,-1,-1,-1,-1
420,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
421,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
422,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
423,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
424,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
425,1,10000,100,10001,2,10002,2,10004,4,10003,50,-1,-1,-1,-1,-1,-1
426,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
427,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
428,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
429,2,10000,150,10001,3,10002,3,10004,5,10003,100,-1,-1,-1,-1,-1,-1
430,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
431,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
432,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
433,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
434,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
435,1,10000,100,10001,2,10002,2,10004,4,10003,50,-1,-1,-1,-1,-1,-1
436,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
437,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
438,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
439,2,10000,150,10001,3,10002,3,10004,5,10003,100,-1,-1,-1,-1,-1,-1
440,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
441,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
442,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
443,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
444,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
445,1,10000,100,10001,2,10002,2,10004,4,10003,50,-1,-1,-1,-1,-1,-1
446,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
447,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
448,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
449,2,10000,150,10001,3,10002,3,10004,5,10003,100,-1,-1,-1,-1,-1,-1
450,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
451,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
452,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
453,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
454,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
455,1,10000,100,10001,2,10002,2,10004,4,10003,50,-1,-1,-1,-1,-1,-1
456,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
457,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
458,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
459,2,10000,150,10001,3,10002,3,10004,5,10003,100,-1,-1,-1,-1,-1,-1
460,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
461,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
462,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
463,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
464,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
465,1,10000,100,10001,2,10002,2,10004,4,10003,50,-1,-1,-1,-1,-1,-1
466,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
467,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
468,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
469,2,10000,150,10001,3,10002,3,10004,5,10003,100,-1,-1,-1,-1,-1,-1
470,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
471,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
472,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
473,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
474,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
475,1,10000,100,10001,2,10002,2,10004,4,10003,50,-1,-1,-1,-1,-1,-1
476,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
477,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
478,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
479,2,10000,150,10001,3,10002,3,10004,5,10003,100,-1,-1,-1,-1,-1,-1
480,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
481,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
482,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
483,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
484,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
485,1,10000,100,10001,2,10002,2,10004,4,10003,50,-1,-1,-1,-1,-1,-1
486,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
487,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
488,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
489,2,10000,150,10001,3,10002,3,10004,5,10003,100,-1,-1,-1,-1,-1,-1
490,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
491,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
492,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
493,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
494,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
495,1,10000,100,10001,2,10002,2,10004,4,10003,50,-1,-1,-1,-1,-1,-1
496,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
497,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
498,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
499,2,10000,150,10001,3,10002,3,10004,5,10003,100,-1,-1,-1,-1,-1,-1
500,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
501,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
502,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
503,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
504,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
505,1,10000,100,10001,2,10002,2,10004,4,10003,50,-1,-1,-1,-1,-1,-1
506,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
507,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
508,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
509,2,10000,150,10001,3,10002,3,10004,5,10003,100,-1,-1,-1,-1,-1,-1
510,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
511,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
512,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
513,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
514,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
515,1,10000,100,10001,2,10002,2,10004,4,10003,50,-1,-1,-1,-1,-1,-1
516,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
517,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
518,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
519,2,10000,150,10001,3,10002,3,10004,5,10003,100,-1,-1,-1,-1,-1,-1
520,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
521,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
522,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
523,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
524,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
525,1,10000,100,10001,2,10002,2,10004,4,10003,50,-1,-1,-1,-1,-1,-1
526,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
527,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
528,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
529,2,10000,150,10001,3,10002,3,10004,5,10003,100,-1,-1,-1,-1,-1,-1
530,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
531,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
532,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
533,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
534,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
535,1,10000,100,10001,2,10002,2,10004,4,10003,50,-1,-1,-1,-1,-1,-1
536,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
537,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
538,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
539,2,10000,150,10001,3,10002,3,10004,5,10003,100,-1,-1,-1,-1,-1,-1
540,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
541,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
542,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
543,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
544,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
545,1,10000,100,10001,2,10002,2,10004,4,10003,50,-1,-1,-1,-1,-1,-1
546,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
547,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
548,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
549,2,10000,150,10001,3,10002,3,10004,5,10003,100,-1,-1,-1,-1,-1,-1
550,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
551,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
552,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
553,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
554,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
555,1,10000,100,10001,2,10002,2,10004,4,10003,50,-1,-1,-1,-1,-1,-1
556,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
557,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
558,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
559,2,10000,150,10001,3,10002,3,10004,5,10003,100,-1,-1,-1,-1,-1,-1
560,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
561,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
562,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
563,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
564,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
565,1,10000,100,10001,2,10002,2,10004,4,10003,50,-1,-1,-1,-1,-1,-1
566,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
567,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
568,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
569,2,10000,150,10001,3,10002,3,10004,5,10003,100,-1,-1,-1,-1,-1,-1
570,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
571,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
572,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
573,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
574,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
575,1,10000,100,10001,2,10002,2,10004,4,10003,50,-1,-1,-1,-1,-1,-1
576,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
577,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
578,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
579,2,10000,150,10001,3,10002,3,10004,5,10003,100,-1,-1,-1,-1,-1,-1
580,0,10000,50,10001,1,10002,1,10004,3,-1,-1,-1,-1,-1,-1,-1,-1
